##file Copy Number Germline Variations - Primary Analysis File
##featureType cngv
##fileType p
## Copy Number Germline Variations [cngv] – Primary Analysis File [p]
# name	datatype	required?	primary key?	deconvolution level	mapping file	description	values
analysis_id	TEXT	true	false			Unique identifier for the analysis performed for a particular set of samples	
control_sample_id	TEXT	true	false			Unique identifier for the analyzed control sample	
variation_id	VARCHAR(128)	true	false			Unique identifier for the variation	
variation_type	VARCHAR(64)	true	false		{codec.dir}/cngv_p__variation_type.tsv	Type of variation	
chromosome	VARCHAR(64)	true	false		{codec.dir}/appendix_B6.tsv	Name of the chromosome containing the mutation/variation	
chromosome_start	INTEGER	true	false			Start position of the mutation/variation on the chromosome	
chromosome_end	INTEGER	true	false			End position of the mutation/variation on the chromosome	
# chromosome_strand	INTEGER	true	false		{codec.dir}/sgv_p__chromosome_strand.tsv	Chromosome strand	
chromosome_start_range	INTEGER true	false			Number of bases around chromosome_start that may contain the start position	0 if start position is exactly at chromosome_start; positive integer for +/- number of bases around chromosome_start
chromosome_end_range	INTEGER true	false			Number of bases around chromosome_end that may contain the end position	0 if end position is exactly at chromosome_end; positive integer for +/- number of bases around chromosome_end
start_probe_id	VARCHAR(64)	false	false			Probe id containing the chromosome_start (if array platform was used)	
end_probe_id	VARCHAR(64)	false	false			Probe id containing the chromosome_end (if array platform was used)	
copy_number	FLOAT(5,2)	true	false			DNA copy number estimated	
segment_mean	FLOAT(5,2)	true	false			Mean LRR per segment
segment_median	FLOAT(5,2)	true	false			Median LRR per segment
# refsnp_allele	VARCHAR(512)	true	false			RefSNP alleles from dbSNP (use a dash for each missing base)	e.g.: A/T, ---/AAA
# refsnp_strand	INTEGER	false	false		{codec.dir}/sgv_p__refsnp_strand.tsv	Strand of RefSNP allele	
# reference_genome_allele	VARCHAR(512)	true	false			Allele in the reference genome (use a dash for each missing base)	
# control_genotype	VARCHAR(512)	true	false			Genotype of the control sample (use a dash for each missing base)	
# tumour_genotype	VARCHAR(512)	true	false			Genotype of the tumour sample (use a dash for each missing base)	
# expressed_allele	VARCHAR(512)	false	false			The expressed allele(s) as revealed by RNA-seq, etc.	
quality_score	INTEGER	false	false			Average quality score for the mutation/variation call	
probability	FLOAT(3,2)	false	false			Probability of the mutation/variation call	
# read_count	FLOAT(5,2)	false	false			Average number of times the bases are covered by raw reads	
is_annotated	VARCHAR(64)	false	false		{codec.dir}/sgv_p__is_annotated.tsv	Indicate if the mutation/variation is annotated in dbSNP	
validation_status	VARCHAR(64)	true	false		{codec.dir}/sgv_p__validation_status.tsv	Indicate if the mutation/variation has been validated	
validation_platform	VARCHAR(512)	false	false		{codec.dir}/appendix_B5.tsv	Platform or technology used in validation	
# xref_ensembl_var_id	VARCHAR(128)	false	false			Cross-reference: Ensembl Variation ID in Ensembl Variation database.	e.g.: rs12345; ENSSNP53189
note	TEXT	false	false			Optional field to leave notes	
