##file Copy Number Somatic Mutations - Primary Analysis File
## Copy Number Somatic Mutations [cnsm] – Primary Analysis File [p]
# name	datatype	required?	primary key?	deconvolution level	mapping file	description	values
analysis_id	VARCHAR(64)	true	false			Unique identifier for the analysis performed for a particular set of samples	
analyzed_sample_id	VARCHAR(64)	true	false			Unique identifier for the analyzed sample	
mutation_id	VARCHAR(128)	true	false			Unique identifier for the mutation	
mutation_type	VARCHAR(128)	true	false		{codec.dir}/cnsm_p__mutation_type.tsv	Type of mutation	
chromosome	VARCHAR(64)	true	false		{codec.dir}/appendix_B6.tsv	Name of the chromosome containing the mutation/variation (#)	
chromosome_start	INTEGER	true	false			Start position of the mutation/variation on the chromosome	
chromosome_end	INTEGER	true	false			End position of the mutation/variation on the chromosome	
chromosome_start_range	INTEGER	false	false			Number of bases around chromosome_start that may contain the start position	
chromosome_end_range	INTEGER	false	false			Number of bases around chromosome_end that may contain the end position	
start_probe_id	VARCHAR(128)	false	false			Probe id containing the chromosome_start if array platform was used	
end_probe_id	VARCHAR(128)	false	false			Probe id containing the chromosome_end if array platform was used	
copy_number	FLOAT(3,2)	false	false			DNA copy number estimated	
segment_mean	FLOAT(5,2)	false	false			Mean LRR per segment	
segment_median	FLOAT(5,2)	false	false			Median LRR per segment	
quality_score	FLOAT(5,2)	false	false			Quality score for the mutation/variation call	
probability	FLOAT(3,2)	false	false			Probability of the mutation/variation call	
is_annotated	VARCHAR(64)	false	false		{codec.dir}/cnsm_p__is_annotated.tsv	Indicate if the mutation/variation is annotated in the Database of Genomic Variants	
validation_status	VARCHAR(64)	true	false		{codec.dir}/cnsm_p__validation_status.tsv	Indicate if the mutation/variation has been validated	
validation_platform	VARCHAR(512)	false	false		{codec.dir}/appendix_B5.tsv	Platform or technology used in validation	
note	TEXT	false	false			Optional field to leave notes	
