##file Methylation & Hydroxy-Methylation - Primary Analysis File
##featureType meth
##fileType p
## Methylation & Hydroxy-Methylation [meth] – Primary Analysis File [p]
# name	datatype	required?	primary key?	deconvolution level	mapping file	description	values
analysis_id	TEXT	true	false			Unique identifier for the analysis performed for a particular group of samples	
analyzed_sample_id	TEXT	true	false			Unique identifier for the analyzed sample	
methylated_fragment_id	VARCHAR(128)	true	false			Unique identifier for the methylated fragment	
chromosome	VARCHAR(64)	true	false		{codec.dir}/appendix_B6.tsv	Name of the chromosome containing the methylation	
chromosome_start	INTEGER	true	false			Start position of the methylation on the chromosome	
chromosome_end	INTEGER	true	false			End position of the methylation on the chromosome	
chromosome_strand	INTEGER	false	false		{codec.dir}/meth_p__chromosome_strand.tsv	Chromosome strand	
beta_value_methylation	FLOAT(5,2)	false	false			Methylation Beta value for interrogated site	
beta_value_hydroxymethylation	FLOAT(5,2)	false	false			Hydroxymethylation Beta value for interrogated site	
quality_score_methylation	INTEGER	false	false			Quality score for the methylation call	
quality_score_hydroxymethylation	INTEGER	false	false			Quality score for the hydroxymethylation call	
probability_methylation	FLOAT(3,2)	false	false			Probability of the methylation call	
probability_hydroxymethylation	FLOAT(3,2)	false	false			Probability of the hydroxymethylation call	
validation_status	VARCHAR(64)	true	false		{codec.dir}/meth_p__validation_status.tsv	Indicate if the methylation has been validated	
validation_platform	VARCHAR(512)	false	false		{codec.dir}/appendix_B5.tsv	Platform or technology used in validation	
note	TEXT	false	false			Optional field to leave notes	
