##file Protein-DNA interaction - Primary Analysis File
##featureType pdna
##fileType p
## Protein-DNA [pdna] – Primary Analysis File [p]
# name	datatype	required?	primary key?	deconvolution level	mapping file	description	values
analysis_id	TEXT	true	false			Unique identifier for the analysis performed for a particular group of samples	
analyzed_sample_id	TEXT	true	false			Unique identifier for the analyzed sample	
protein_dna_interaction_id	VARCHAR(128)	true	false			Unique identifier for the protein-DNA interaction	
protein_stable_id	VARCHAR(128)	true	false			Stable id of the interacting protein, antibody or protein complex
chromosome	VARCHAR(64)	true	false		{codec.dir}/appendix_B6.tsv	Name of the chromosome where the protein-DNA interaction happened	
chromosome_start	INTEGER	true	false			Start position where the interaction happened on the chromosome	
chromosome_end	INTEGER	true	false			End position the interaction happened on the chromosome	
chromosome_strand	INTEGER	false	false		{codec.dir}/pdna_p__chromosome_strand.tsv	Chromosome strand	
idr	FLOAT(5,2)	true	false			Irreproducible discovery rate	
fdr	FLOAT(5,2)	false	false			False discovery rate
rank_type	VARCHAR(64)	false	false			Kind of used ranking
rank_value	FLOAT(5,2)	false	false			Rank value
validation_status	VARCHAR(64)	true	false		{codec.dir}/pdna_p__validation_status.tsv	Indicate if the detected protein-DNA interaction has been validated	
validation_platform	VARCHAR(512)	false	false		{codec.dir}/appendix_B5.tsv	Platform or technology used in validation	
note	TEXT	false	false			Optional field to leave notes	
