# name	required?	datatype	primary key?	index?
cnv_id_key	true	BIGINT	false	true
mutation_id	true	VARCHAR(128)	false	true
mutation_type	true	VARCHAR(128)	false	true
chromosome_start_range	false	INTEGER	false	false
chromosome_end_range	false	INTEGER	false	false
start_probe_id	false	VARCHAR(128)	false	false
end_probe_id	false	VARCHAR(128)	false	false
copy_number	false	FLOAT(3,2)	false	true
quality_score	false	FLOAT(5,2)	false	true
probability	false	FLOAT(3,2)	false	true
is_annotated	false	VARCHAR(64)	false	true
validation_status	true	VARCHAR(64)	false	true
validation_platform	false	VARCHAR(512)	false	true
gene_affected	true	VARCHAR(512)	false	true
transcript_affected	false	VARCHAR(512)	false	true
assembly_version	true	VARCHAR(64)	false	false
platform	true	VARCHAR(512)	false	true
experimental_protocol	false	VARCHAR(512)	false	false
base_calling_algorithm	false	VARCHAR(512)	false	false
alignment_algorithm	false	VARCHAR(512)	false	false
variation_calling_algorithm	false	VARCHAR(512)	false	false
other_analysis_algorithm	false	VARCHAR(512)	false	false
seq_coverage	false	FLOAT(3,2)	false	false
raw_data_repository	false	VARCHAR(128)	false	false
raw_data_accession	false	VARCHAR(128)	false	false
analyzed_sample_id	true	VARCHAR(64)	false	true
matched_sample_id	true	VARCHAR(64)	false	true
analysis_id	true	VARCHAR(64)	false	true
segment_mean	false	FLOAT(5,2)	false	false
segment_median	false	FLOAT(5,2)	false	false
gene_symbol	false	VARCHAR(64)	false	false
