# name	required?	datatype	primary key?	index?
gene_id_1020_key	true	INTEGER	false	true
gene_stable_id	true	VARCHAR(64)	false	true
sample_id	true	VARCHAR(64)	false	true
junction_id	true	VARCHAR(256)	false	true
second_gene_stable_id	false	VARCHAR(64)	false	true
exon1_chromosome	true	VARCHAR(64)	false	false
exon1_number_bases	true	INTEGER	false	false
exon1_end	true	INTEGER	false	false
exon1_strand	false	INTEGER	false	false
exon2_chromosome	true	VARCHAR(64)	false	false
exon2_number_bases	true	INTEGER	false	false
exon2_start	true	INTEGER	false	false
exon2_strand	false	INTEGER	false	false
is_fusion_gene	false	VARCHAR(16)	false	true
is_novel_splice_form	false	VARCHAR(16)	false	true
junction_seq	false	TEXT	false	false
junction_type	false	VARCHAR(64)	false	true
junction_read_count	true	FLOAT(5,2)	false	true
platform	true	VARCHAR(512)	false	true
quality_score	false	INTEGER	false	true
probability	false	FLOAT(3,2)	false	true
validation_status	true	VARCHAR(64)	false	true
validation_platform	false	VARCHAR(512)	false	true
experimental_protocol	false	VARCHAR(512)	false	false
base_calling_algorithm	true	VARCHAR(512)	false	false
alignment_algorithm	true	VARCHAR(512)	false	false
normalization_algorithm	true	VARCHAR(512)	false	false
other_analysis_algorithm	false	VARCHAR(512)	false	false
seq_coverage	false	FLOAT(5,2)	false	false
raw_data_repository	true	VARCHAR(128)	false	false
raw_data_accession	true	VARCHAR(128)	false	false
