# name	required?	datatype	primary key?	index?
transcript_id_1064_key	true	TEXT	false	true
mutation_id	true	VARCHAR(128)	false	true
mutation_type	true	VARCHAR(128)	false	true
chromosome	true	VARCHAR(64)	false	true
chromosome_start	true	INTEGER	false	true
chromosome_end	true	INTEGER	false	true
chromosome_strand	true	INTEGER	false	true
refsnp_allele	true	VARCHAR(512)	false	true
refsnp_strand	false	INTEGER	false	true
reference_genome_allele	true	VARCHAR(512)	false	true
control_genotype	true	VARCHAR(512)	false	false
tumour_genotype	true	VARCHAR(512)	false	false
mutation	true	VARCHAR(1024)	false	false
quality_score	false	INTEGER	false	true
probability	false	FLOAT(3,2)	false	true
read_count	false	FLOAT(5,2)	false	true
is_annotated	false	VARCHAR(64)	false	true
validation_status	true	VARCHAR(64)	false	true
validation_platform	false	VARCHAR(512)	false	true
xref_ensembl_var_id	false	VARCHAR(128)	false	true
consequence_type	true	VARCHAR(512)	false	true
aa_mutation	false	VARCHAR(512)	false	false
cds_mutation	false	VARCHAR(512)	false	false
protein_domain_affected	false	VARCHAR(128)	false	false
platform	true	VARCHAR(512)	false	false
experimental_protocol	false	VARCHAR(512)	false	false
base_calling_algorithm	true	VARCHAR(512)	false	false
alignment_algorithm	true	VARCHAR(512)	false	false
variation_calling_algorithm	true	VARCHAR(512)	false	false
other_analysis_algorithm	false	VARCHAR(512)	false	false
seq_coverage	false	FLOAT(5,2)	false	false
raw_data_repository	false	VARCHAR(128)	false	false
raw_data_accession	false	VARCHAR(128)	false	false
analyzed_sample_id	true	VARCHAR(64)	false	true
matched_sample_id	true	VARCHAR(64)	false	true
