# name	required?	datatype	primary key?	index?
transcript_id_1064_key	true	TEXT	false	true
annotation	true	VARCHAR(256)	false	true
interpreted_annotation	false	VARCHAR(256)	false	true
variant_type	true	VARCHAR(128)	false	true
chr_from	true	VARCHAR(64)	false	true
chr_from_bkpt	true	INTEGER	false	true
chr_from_strand	true	INTEGER	false	false
chr_from_range	false	INTEGER	false	false
chr_from_flanking_seq	false	VARCHAR(512)	false	false
chr_to	true	VARCHAR(64)	false	true
chr_to_bkpt	true	INTEGER	false	true
chr_to_strand	true	INTEGER	false	false
chr_to_range	false	INTEGER	false	false
chr_to_flanking_seq	false	VARCHAR(512)	false	false
microhomology_sequence	false	TEXT	false	false
non_templated_sequence	false	TEXT	false	false
evidence	false	VARCHAR(128)	false	true
quality_score	false	INTEGER	false	true
probability	false	FLOAT(3,2)	false	true
zygosity	false	VARCHAR(64)	false	true
validation_status	true	VARCHAR(64)	false	true
validation_platform	false	VARCHAR(512)	false	true
db_xref	false	VARCHAR(256)	false	true
platform	true	VARCHAR(512)	false	true
experimental_protocol	false	VARCHAR(512)	false	false
base_calling_algorithm	true	VARCHAR(512)	false	false
alignment_algorithm	true	VARCHAR(512)	false	false
variation_calling_algorithm	true	VARCHAR(512)	false	false
other_analysis_algorithm	false	VARCHAR(512)	false	false
seq_coverage	false	FLOAT(5,2)	false	false
raw_data_repository	false	VARCHAR(128)	false	false
raw_data_accession	false	VARCHAR(128)	false	false
analyzed_sample_id	true	VARCHAR(64)	false	true
matched_sample_id	true	VARCHAR(64)	false	true
