# name	required?	datatype	primary key?	index?
donor_id_key	true	BIGINT	true	true
donor_id	true	VARCHAR(64)	false	true
donor_sex	true	VARCHAR(128)	false	false
donor_region_of_residence	true	VARCHAR(64)	false	false
donor_vital_status	true	VARCHAR(128)	false	false
disease_status_last_followup	true	VARCHAR(128)	false	false
donor_relapse_type	true	VARCHAR(128)	false	false
donor_age_at_diagnosis	true	INTEGER	false	false
donor_age_at_enrollment	true	INTEGER	false	false
donor_age_at_last_followup	true	INTEGER	false	false
donor_relapse_interval	true	INTEGER	false	false
donor_diagnosis_icd10	true	VARCHAR(64)	false	false
donor_tumour_staging_system_at_diagnosis	true	VARCHAR(64)	false	false
donor_tumour_stage_at_diagnosis	true	VARCHAR(64)	false	false
donor_tumour_stage_at_diagnosis_supplemental	false	VARCHAR(64)	false	false
donor_survival_time	true	INTEGER	false	false
donor_interval_of_last_followup	true	INTEGER	false	false
donor_notes	false	TEXT	false	false
