# name	required?	datatype	primary key?	index?
specimen_id	false	VARCHAR(64)	false	false
specimen_type	false	VARCHAR(128)	false	false
specimen_type_other	false	VARCHAR(64)	false	false
specimen_interval	false	INTEGER	false	false
specimen_donor_treatment_type	false	VARCHAR(128)	false	false
specimen_donor_treatment_type_other	false	VARCHAR(64)	false	false
specimen_processing	false	VARCHAR(128)	false	false
specimen_processing_other	false	VARCHAR(64)	false	false
specimen_storage	false	VARCHAR(128)	false	false
specimen_storage_other	false	VARCHAR(64)	false	false
tumour_confirmed	false	VARCHAR(128)	false	false
specimen_biobank	false	VARCHAR(64)	false	false
specimen_biobank_id	false	VARCHAR(64)	false	false
specimen_available	false	VARCHAR(128)	false	false
tumour_histological_type	false	VARCHAR(64)	false	false
tumour_grading_system	false	VARCHAR(64)	false	false
tumour_grade	false	VARCHAR(64)	false	false
tumour_grade_supplemental	false	VARCHAR(64)	false	false
tumour_stage_system	false	VARCHAR(64)	false	false
tumour_stage	false	VARCHAR(64)	false	false
tumour_stage_supplemental	false	VARCHAR(64)	false	false
digital_image_of_stained_section	false	TEXT	false	false
specimen_notes	false	TEXT	false	false
donor_id	false	VARCHAR(64)	false	false
donor_sex	false	VARCHAR(128)	false	false
donor_region_of_residence	false	VARCHAR(64)	false	false
donor_vital_status	false	VARCHAR(128)	false	false
disease_status_last_followup	false	VARCHAR(128)	false	false
donor_relapse_type	false	VARCHAR(128)	false	false
donor_age_at_diagnosis	false	INTEGER	false	false
donor_age_at_enrollment	false	INTEGER	false	false
donor_age_at_last_followup	false	INTEGER	false	false
donor_relapse_interval	false	INTEGER	false	false
donor_diagnosis_icd10	false	VARCHAR(64)	false	false
donor_tumour_staging_system_at_diagnosis	false	VARCHAR(64)	false	false
donor_tumour_stage_at_diagnosis	false	VARCHAR(64)	false	false
donor_tumour_stage_at_diagnosis_supplemental	false	VARCHAR(64)	false	false
donor_survival_time	false	INTEGER	false	false
donor_interval_of_last_followup	false	INTEGER	false	false
donor_notes	false	TEXT	false	false
donor_id_key	true	BIGINT	false	true
specimen_id_key	true	BIGINT	false	true
sample_id_key	true	BIGINT	true	true
analyzed_sample_id	true	VARCHAR(64)	false	true
analyzed_sample_type	true	VARCHAR(128)	false	false
analyzed_sample_type_other	false	VARCHAR(64)	false	false
analyzed_sample_interval	false	INTEGER	false	false
analyzed_sample_notes	false	TEXT	false	false
