# name	required?	datatype	primary key?	index?
sgv_id_key	true	BIGINT	true	true
analysis_id	true	VARCHAR(64)	false	false
control_sample_id	true	VARCHAR(64)	false	false
matched_sample_id	true	VARCHAR(64)	false	false
assembly_version	true	VARCHAR(64)	false	false
platform	true	VARCHAR(512)	false	false
experimental_protocol	false	VARCHAR(512)	false	false
base_calling_algorithm	true	VARCHAR(512)	false	false
alignment_algorithm	true	VARCHAR(512)	false	false
variation_calling_algorithm	true	VARCHAR(512)	false	false
other_analysis_algorithm	false	VARCHAR(512)	false	false
seq_coverage	false	FLOAT(5,2)	false	false
raw_data_repository	false	VARCHAR(512)	false	false
raw_data_accession	false	VARCHAR(512)	false	false
variation_id	true	VARCHAR(128)	false	true
variation_type	true	VARCHAR(64)	false	false
chromosome	true	VARCHAR(64)	false	true
chromosome_start	true	INTEGER	false	true
chromosome_end	true	INTEGER	false	true
chromosome_strand	true	INTEGER	false	true
refsnp_allele	true	VARCHAR(512)	false	false
refsnp_strand	false	INTEGER	false	false
reference_genome_allele	true	VARCHAR(512)	false	false
control_genotype	true	VARCHAR(512)	false	false
tumour_genotype	true	VARCHAR(512)	false	false
expressed_allele	false	VARCHAR(512)	false	false
quality_score	false	INTEGER	false	false
probability	false	FLOAT(3,2)	false	false
read_count	false	FLOAT(5,2)	false	false
is_annotated	false	VARCHAR(64)	false	false
validation_status	true	VARCHAR(64)	false	false
validation_platform	false	VARCHAR(512)	false	false
xref_ensembl_var_id	false	VARCHAR(128)	false	false
